id,exercise_name,type_of_activity,type_of_equipment,body_part,type,muscle_groups_activated,instruction
447,Incline Lat Pulldown,warm-up,cable machine,upper,hold,"triceps, traps, forearms","Setup: Adjust machine seat and lever to align joints with pivots. Draw ribs down, keep shoulders packed and away from ears. Primary focus: triceps, traps, forearms. Movement: Pull handle to upper chest by driving elbows down; pause, then control the return overhead. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
448,Incline Calf Raise Pulse,cardio,kettlebells,core,pull,"obliques, lower back, abs","Setup: Place kettlebell close to midline; hinge to grip; pack shoulders. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: obliques, lower back, abs. Movement: Pull/row to a controlled end range, then return under control (Reach a strong squeeze at end range; control the return fully.). Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Keep posture tall; reduce pace if form degrades. Keep bell close to centerline to protect lower back."
449,Deficit Rowing Series,cardio,resistance band,full body,push,"core, legs, chest","Setup: Anchor the resistance band safely; check for tears before use. Maintain tall posture, neutral spine, and steady breathing. Primary focus: core, legs, chest. Movement: Pull elbows back toward hips, squeeze shoulder blades, then return slowly without shrugging. Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Keep posture tall; reduce pace if form degrades."
450,Static Burpee,strength,cable machine,upper,stretch,"lats, chest, traps","Setup: Adjust machine seat and lever to align joints with pivots. Draw ribs down, keep shoulders packed and away from ears. Primary focus: lats, chest, traps. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 3‑1‑1‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
451,Burpee Iso,cardio,smith machine,core,pull,"obliques, abs, lower back","Setup: Adjust machine seat and lever to align joints with pivots. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: obliques, abs, lower back. Movement: Pull/row to a controlled end range, then return under control (Reach a strong squeeze at end range; control the return fully.). Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Keep posture tall; reduce pace if form degrades."
452,Chin-Up Pulse,strength,treadmill,core,stretch,"lower back, obliques, abs","Setup: Prepare equipment: treadmill. Ensure stable setup and safe load. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: lower back, obliques, abs. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 3‑1‑1‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
453,Tempo Mountain Climber,cardio,barbells,core,push,"lower back, abs, obliques","Setup: Set barbell with collars secured; grip evenly; brace before lift. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: lower back, abs, obliques. Movement: Press/drive to a controlled end range, then return under control (Use a full, pain‑free range, stopping just before joint lockout.). Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Start lighter than you think; add load gradually. Keep posture tall; reduce pace if form degrades."
454,Feet-Elevated Overhead Press Reach,warm-up,assisted machine,lower,pull,"hamstrings, calves, quads","Setup: Adjust machine seat and lever to align joints with pivots. Brace core, keep neutral spine, drive through whole foot. Primary focus: hamstrings, calves, quads. Movement: Squeeze glutes and ribs down, press overhead without arching; lock out with biceps by ears. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
455,Seated Bicep Curl Hold,cardio,bike,full body,hold,"legs, core, chest","Setup: Prepare equipment: bike. Ensure stable setup and safe load. Maintain tall posture, neutral spine, and steady breathing. Primary focus: legs, core, chest. Movement: Hold/maintain to a controlled end range, then return under control (Find a stable, aligned position and sustain tension without shaking.). Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Keep posture tall; reduce pace if form degrades."
456,Explosive Bench Press Combo,warm-up,dumbbells,lower,stretch,"quads, hamstrings, glutes","Setup: Hold dumbbells with a neutral, secure grip; wrists straight. Brace core, keep neutral spine, drive through whole foot. Primary focus: quads, hamstrings, glutes. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and knees tracking over toes. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
457,Decline Lat Pulldown,warm-up,smith machine,core,push,"obliques, abs, lower back","Setup: Adjust machine seat and lever to align joints with pivots. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: obliques, abs, lower back. Movement: Pull handle to upper chest by driving elbows down; pause, then control the return overhead. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
458,Seated Push-Up,cardio,dip belt,full body,stretch,"chest, core, back","Setup: Prepare equipment: dip belt. Ensure stable setup and safe load. Maintain tall posture, neutral spine, and steady breathing. Primary focus: chest, core, back. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Keep posture tall; reduce pace if form degrades."
459,Farmer Carry Twist,mobility,jump rope,upper,hold,"triceps, traps, biceps","Setup: Prepare equipment: jump rope. Ensure stable setup and safe load. Draw ribs down, keep shoulders packed and away from ears. Primary focus: triceps, traps, biceps. Movement: Hold/maintain to a controlled end range, then return under control (Find a stable, aligned position and sustain tension without shaking.). Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Never force end range; joints should feel stable."
460,Bicep Curl March,warm-up,dip belt,full body,push,"legs, chest, core","Setup: Prepare equipment: dip belt. Ensure stable setup and safe load. Maintain tall posture, neutral spine, and steady breathing. Primary focus: legs, chest, core. Movement: Press/drive to a controlled end range, then return under control (Use a full, pain‑free range, stopping just before joint lockout.). Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
461,Rotational Leg Press,strength,cable machine,lower,hold,"hamstrings, glutes, quads","Setup: Adjust machine seat and lever to align joints with pivots. Brace core, keep neutral spine, drive through whole foot. Primary focus: hamstrings, glutes, quads. Movement: Hold/maintain to a controlled end range, then return under control (Find a stable, aligned position and sustain tension without shaking.). Tempo: 3‑1‑1‑0. Dose: 3–5 sets × 20–40 sec hold. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and knees tracking over toes. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
462,Single-Leg Lat Pulldown March,warm-up,rower,lower,stretch,"quads, glutes, hamstrings","Setup: Prepare equipment: rower. Ensure stable setup and safe load. Brace core, keep neutral spine, drive through whole foot. Primary focus: quads, glutes, hamstrings. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and knees tracking over toes. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
